normalized_key,level,hazard_type,area_ratio,rank_avg,rank_max,source,acquired_on
神奈川県横浜市中区港町6丁目,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区滝之上,chome,landslide_special,0.0056,0.0112,2.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区相生町1丁目,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区相生町2丁目,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区相生町3丁目,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区相生町4丁目,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区相生町5丁目,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区相生町6丁目,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区真砂町1丁目,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区真砂町2丁目,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区真砂町3丁目,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区真砂町4丁目,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区矢口台,chome,landslide_special,0.0009,0.0017,2.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区石川町1丁目,chome,landslide_special,0.0137,0.0275,2.0,mlit_a33-23,2026-09-05
